artist,avg_pop,avg_duration,avg_temp,avg_energy,avg_danceability,avg_loudness,avg_speechiness,avg_instrumentalness,avg_acousticness,avg_liveness,avg_valence,rating_np,rating_ps,rating_pk,rating_hi,rating_svm
Dusty Kid,26,449696,127.95,0.63,0.74,-10.03,0.08,0.74,0.09,0.11,0.18,,,,,
Dusty Springfield,63,158107,135.58,0.59,0.64,-10.3,0.08,0,0.29,0.11,0.86,,,,,
Dustycloud,30,206714,126.25,0.85,0.78,-5.41,0.11,0.53,0.05,0.23,0.4,,,,,
Dustystaytrue,46,156301,132.11,0.61,0.67,-9.65,0.21,0,0.22,0.2,0.53,,,,,
Dutch Master,24,356508,146.66,0.8,0.61,-6.62,0.09,0.5,0.02,0.22,0.41,,,,,
Dutch Masters,18,186120,138.39,0.72,0.52,-11.61,0.03,0.88,0.02,0.33,0.62,,,,,
Dutch Melrose,48,164823,122.73,0.59,0.59,-8.06,0.04,0.01,0.1,0.22,0.42,,,,,
Dutch Movement,28,276222,150.02,0.97,0.57,-1.44,0.22,0.14,0.28,0.31,0.28,,,,,
Dutchican Soul,33,187904,123.31,0.86,0.74,-6.82,0.1,0.41,0.01,0.21,0.59,,,,,
Dvastate,26,161903,159.38,0.92,0.37,-4.46,0.3,0,0.03,0.5,0.18,,,,,
DVBBS,38,205408,124.63,0.82,0.64,-4.39,0.09,0.12,0.05,0.21,0.39,,,,,
Dvice,44,193742,122.72,0.76,0.71,-5.48,0.08,0,0.22,0.28,0.68,,,,,
DVRKCLOUD,27,227138,136.96,0.74,0.52,-5.99,0.05,0,0.09,0.13,0.21,,,,,
DVS1,22,379726,132.67,0.62,0.74,-12.09,0.07,0.92,0.25,0.1,0.34,,,,,
dvsn,43,220612,115.86,0.49,0.67,-7.77,0.09,0.01,0.23,0.2,0.38,,,,,
Dvwn,50,213076,99.92,0.46,0.6,-6.53,0.05,0,0.37,0.15,0.43,,,,,
Dwarrowdelf,17,344305,85,0.85,0.33,-8.2,0.05,0.37,0,0.08,0.05,,,,,
Dwarves,24,104333,136.63,0.95,0.38,-4.2,0.12,0.05,0,0.37,0.47,,,,,
Dweeb,35,72390,93.54,0.16,0.8,-11.89,0.22,0.83,0.61,0.11,0.48,,,,,
Dwele,23,225379,103.29,0.45,0.7,-9.49,0.2,0.01,0.27,0.15,0.53,,,,,
Dwellings,34,265962,144.35,0.88,0.42,-4.6,0.06,0.02,0.05,0.22,0.49,,,,,
Dwight Kanae,17,179787,97.31,0.44,0.47,-10.02,0.04,0.93,0.62,0.11,0.31,,,,,
Dwight Sykes,28,255892,119.57,0.5,0.67,-14.28,0.13,0.25,0.46,0.15,0.72,,,,,
Dwight Twilley,29,217413,123.96,0.78,0.53,-6.32,0.05,0,0.05,0.28,0.94,,,,,
Dwight Twilley Band,23,163700,102.09,0.79,0.5,-7.86,0.06,0.02,0.06,0.2,0.52,,,,,
Dwight Yoakam,28,207054,132.58,0.7,0.56,-5.33,0.05,0.01,0.31,0.16,0.67,,,,,
Dwin,51,165201,118.26,0.84,0.78,-5.97,0.16,0.2,0.05,0.12,0.32,,,,,
DWLLRS,47,183271,113.57,0.57,0.61,-6.99,0.1,0,0.51,0.27,0.4,,,,,
Dwn2earth,39,191472,118.5,0.47,0.75,-9.7,0.07,0,0.44,0.1,0.28,,,,,
Dx Aneurysm,25,243840,111.66,0.93,0.53,-3.46,0.04,0.02,0,0.12,0.4,,,,,
Dxvn.,49,161985,103.88,0.48,0.7,-9.78,0.04,0.01,0.4,0.11,0.28,,,,,
Dyablo,32,237848,97.96,0.66,0.78,-7.09,0.22,0,0.19,0.16,0.59,,,,,
D'yani,28,193364,124.47,0.63,0.64,-6.78,0.31,0.01,0.36,0.16,0.62,,,,,
Dyatic,28,178433,141.24,0.99,0.57,-1.86,0.11,0.54,0.02,0.31,0.45,,,,,
Dybbukk,58,128367,101.63,0.32,0.65,-14.94,0.06,0.61,0.49,0.19,0.37,,,,,
DYEN,27,375656,146.29,0.96,0.63,-5.78,0.14,0.77,0,0.24,0.18,,,,,
Dyewitness,20,240187,155.85,0.88,0.67,-7.99,0.09,0.21,0,0.23,0.64,,,,,
DYGL,33,231389,156.56,0.71,0.57,-7.32,0.06,0,0.05,0.17,0.68,,,,,
Dying Fetus,26,256314,113.94,0.94,0.33,-6.43,0.12,0.4,0,0.21,0.32,,,,,
dying in designer,37,170199,152.39,0.55,0.72,-8.49,0.07,0,0.12,0.12,0.34,,,,,
Dying Wish,30,197771,131.89,0.97,0.31,-3.86,0.13,0.04,0,0.22,0.25,,,,,
Dyke & The Blazers,29,181044,120.05,0.64,0.73,-10.67,0.05,0.19,0.01,0.12,0.84,,,,,
dyl dion,53,139235,125.13,0.57,0.78,-7.92,0.04,0.02,0.57,0.14,0.59,,,,,
Dylan Dunlap,51,218809,133.54,0.51,0.52,-6.68,0.03,0,0.37,0.24,0.36,,,,,
Dylan Henner,31,553738,99.75,0.21,0.52,-19.77,0.05,0.92,0.94,0.19,0.18,,,,,
Dylan Marlowe,48,198095,123.3,0.68,0.53,-6.17,0.04,0,0.23,0.17,0.43,,,,,
Dylan Owen,29,203486,82.05,0.69,0.59,-8.26,0.26,0,0.32,0.23,0.73,,,,,
Dylan Rockoff,32,197852,118.19,0.46,0.68,-9.9,0.08,0,0.46,0.14,0.51,,,,,
Dylan Schneider,37,182083,128.62,0.81,0.56,-5.39,0.04,0,0.07,0.16,0.64,,,,,
Dylan Scott,41,185787,120.39,0.7,0.57,-5.94,0.04,0,0.23,0.18,0.5,,,,,
Dylan Sinclair,44,201414,110.39,0.44,0.56,-9.76,0.17,0.02,0.69,0.13,0.35,,,,,
Dylan Sitts,40,135038,127.74,0.48,0.77,-9.13,0.08,0.7,0.18,0.15,0.29,,,,,
Dyland & Lenny,46,209145,116.31,0.85,0.67,-5.16,0.06,0,0.1,0.16,0.79,,,,,
Dynamite MC,29,213045,107.48,0.79,0.8,-4.69,0.15,0.03,0.03,0.15,0.6,,,,,
Dynatron,30,314150,116.44,0.78,0.52,-7.02,0.03,0.55,0.08,0.16,0.2,,,,,
Dynazty,33,255412,138.28,0.93,0.43,-5.35,0.08,0,0,0.22,0.35,,,,,
Dynho Alves,43,137193,149.95,0.79,0.83,-3.93,0.13,0,0.35,0.1,0.84,,,,,
Dynoro,58,176601,125.75,0.82,0.69,-4.45,0.07,0.02,0.06,0.2,0.35,,,,,
Dyro,25,226722,129.93,0.89,0.61,-4.11,0.13,0.34,0,0.23,0.29,,,,,
Dyscarnate,23,260283,122.48,0.96,0.38,-6.97,0.09,0.58,0,0.2,0.24,,,,,
Dyster,17,622293,55.02,0.93,0.39,-4.2,0.11,0.71,0.93,0.24,0.04,,,,,
Dystopia,32,259326,113.17,0.85,0.29,-8.49,0.12,0.41,0.01,0.19,0.27,,,,,
Dyzen,28,439844,123.76,0.6,0.73,-10.59,0.05,0.87,0.03,0.12,0.07,,,,,
DZ Deathrays,28,183081,140.96,0.89,0.43,-4.99,0.07,0.01,0.01,0.35,0.38,,,,,
Dzeko,36,189817,130.56,0.83,0.62,-4.3,0.14,0,0.16,0.18,0.41,,,,,
Dzeko & Torres,32,218195,128.03,0.93,0.59,-4.51,0.12,0.1,0.01,0.22,0.26,,,,,
Dzem,38,336157,128.64,0.53,0.58,-9.53,0.04,0,0.27,0.08,0.51,,,,,
Dzihan & Kamien,24,295396,116.9,0.67,0.67,-8.75,0.05,0.73,0.11,0.13,0.4,,,,,
E J R M,27,204483,103.95,0.16,0.18,-22.51,0.04,0.89,0.94,0.09,0.05,,,,,
É O Tchan,34,199056,120.63,0.95,0.68,-4,0.17,0,0.69,0.76,0.8,,,,,
E.M.D.,24,188640,135.04,0.67,0.61,-5.72,0.04,0,0.15,0.13,0.48,,,,,
E.VAX,23,180372,125.8,0.43,0.54,-11.86,0.08,0.74,0.76,0.17,0.33,,,,,
E-40,32,258239,99.14,0.69,0.79,-5.87,0.28,0,0.1,0.19,0.5,,,,,
Eagle Eyed Tiger,31,190968,139.28,0.7,0.62,-8.95,0.05,0.87,0.1,0.12,0.38,,,,,
Eagles,35,266677,115.11,0.5,0.58,-9.88,0.03,0.01,0.33,0.16,0.57,,,,,8
Eagles Of Death Metal,29,195282,130.75,0.88,0.58,-4.94,0.08,0.11,0.19,0.18,0.62,,,,,
Eagulls,21,288720,123.86,0.9,0.24,-2.91,0.08,0.34,0,0.38,0.42,,,,,
Earl 16,28,212251,136.27,0.56,0.83,-11.61,0.12,0.37,0.05,0.18,0.88,,,,,
Earl Hooker,26,164406,108.24,0.57,0.55,-8.39,0.03,0.67,0.37,0.12,0.77,,,,,
Earl King,26,191283,118.06,0.68,0.67,-8.37,0.11,0,0.39,0.17,0.78,,,,,
Earl Klugh,23,260477,110.12,0.3,0.62,-15.88,0.05,0.76,0.79,0.14,0.48,,,,,
Earl Sweatshirt,48,155503,108.86,0.64,0.54,-7.05,0.27,0.04,0.26,0.3,0.47,,,,,
Earlimart,24,300493,112.17,0.32,0.53,-14.91,0.03,0.72,0.04,0.2,0.04,,,,,
EarlyRise,26,215835,116.93,0.74,0.53,-4.84,0.06,0,0.22,0.2,0.33,,,,,
Earnest Pugh,24,283469,119.99,0.75,0.38,-6.19,0.1,0,0.19,0.53,0.33,,,,,
Earshot,29,232721,133.61,0.85,0.43,-5.06,0.08,0.05,0,0.2,0.4,,,,,
Earsquaker,27,155708,153.32,0.95,0.53,-4.1,0.07,0.02,0.01,0.25,0.27,,,,,
Earth Caller,31,187808,166.7,0.97,0.39,-4.89,0.2,0.01,0,0.2,0.27,,,,,
Earth Crisis,23,188762,117.94,0.96,0.42,-3.92,0.12,0.03,0.02,0.21,0.31,,,,,
Earth Groans,25,202716,130.37,0.97,0.4,-3.88,0.12,0,0,0.28,0.24,,,,,
Earth n Days,29,229655,124.44,0.92,0.74,-4.94,0.06,0.38,0,0.11,0.64,,,,,
Earth People,18,180107,125.33,0.94,0.69,-10.13,0.04,0.89,0,0.04,0.43,,,,,
Eartheater,28,211316,124.31,0.51,0.42,-11.62,0.08,0.49,0.49,0.18,0.24,,,,,
Earthen Sea,20,270613,99.08,0.18,0.31,-25.92,0.04,0.85,0.9,0.1,0.17,,,,,
EARTHGANG,45,253659,123.78,0.63,0.72,-6.95,0.25,0,0.16,0.33,0.52,,,,,
Earthists.,26,199915,110.25,0.94,0.42,-4.51,0.07,0.03,0.01,0.18,0.34,,,,,
Earthless,25,780801,124.23,0.86,0.22,-6.42,0.08,0.65,0.01,0.22,0.28,,,,,
EarthLife,26,446945,124.13,0.62,0.76,-11.39,0.05,0.89,0.15,0.1,0.14,,,,,
Earthsuit,23,257887,94.49,0.82,0.61,-5.27,0.06,0,0.26,0.2,0.58,,,,,
Easily Embarrassed,22,290837,101.23,0.55,0.49,-12.38,0.04,0.78,0.26,0.12,0.12,,,,,
East 17,35,257923,153.56,0.79,0.57,-7.39,0.05,0,0.18,0.26,0.63,,,,,
East of Underground,35,232320,99.4,0.39,0.69,-10.39,0.05,0.04,0.76,0.13,0.71,,,,,
Easter Brothers,22,182058,113.08,0.36,0.61,-9.14,0.03,0,0.68,0.24,0.62,,,,,
Eastern High,25,287863,141.34,0.91,0.48,-6.31,0.06,0.34,0,0.22,0.36,,,,,
Easton Corbin,40,204566,127.56,0.64,0.63,-6.59,0.03,0,0.16,0.16,0.5,,,,,
easy life,55,184630,95.23,0.55,0.7,-8.06,0.14,0,0.43,0.28,0.62,,,,,
