artist,avg_pop,avg_duration,avg_temp,avg_energy,avg_danceability,avg_loudness,avg_speechiness,avg_instrumentalness,avg_acousticness,avg_liveness,avg_valence,rating_np,rating_ps,rating_pk,rating_hi,rating_svm
JUNE,41,225905,99.47,0.7,0.64,-4.35,0.08,0,0.27,0.12,0.63,,,,,
July,27,190066,130.81,0.54,0.43,-9.58,0.04,0.66,0.71,0.12,0.24,,,,,
August,45,144053,122.95,0.58,0.89,-7.49,0.13,0,0.29,0.24,0.49,,,,,
September,34,211804,129.6,0.77,0.66,-5.2,0.03,0,0.12,0.18,0.71,,,,,
Wednesday,29,220510,120.19,0.58,0.32,-8.31,0.04,0.35,0.22,0.23,0.29,,,,,
Thursday,27,240207,139.11,0.82,0.31,-5.18,0.07,0.17,0.01,0.21,0.29,,,,,
$LOTHBOI,29,132017,112.65,0.7,0.54,-7.14,0.04,0.04,0.07,0.37,0.29,,,,,
$NOT,58,154036,114.94,0.56,0.77,-8.54,0.26,0.02,0.36,0.16,0.47,,,,,
$uicideboy$,54,153171,124.29,0.66,0.76,-6.6,0.14,0.03,0.14,0.23,0.35,,,,,6
&ME,29,435831,120.81,0.75,0.75,-9.12,0.05,0.7,0.01,0.1,0.36,,,,,
(DOLCH),27,292229,121.74,0.55,0.29,-12.25,0.05,0.46,0.13,0.15,0.11,,,,,
(Hed) P.E.,24,220459,126.97,0.82,0.57,-6.46,0.13,0.02,0.03,0.26,0.53,,,,,
*NSYNC,37,228590,122.06,0.79,0.69,-5.55,0.06,0,0.12,0.2,0.72,,,,,4
...And Oceans,23,282343,119.38,0.84,0.22,-10.19,0.07,0.56,0,0.23,0.12,,,,,
...And You Will Know Us by the Trail of Dead,26,239990,133.61,0.8,0.27,-6.47,0.07,0.23,0.08,0.32,0.27,,,,,
.anxious.,38,123745,103.92,0.12,0.61,-18.96,0.08,0.77,0.84,0.14,0.27,,,,,
.Sinh,41,114916,117.35,0.28,0.69,-13.35,0.07,0.8,0.59,0.09,0.49,,,,,
:Of The Wand And The Moon:,21,290211,110.64,0.61,0.32,-7.79,0.03,0.85,0.29,0.17,0.31,,,,,
:Wumpscut:,21,300465,123.18,0.88,0.49,-5.4,0.05,0.28,0.02,0.21,0.31,,,,,
? & The Mysterians,40,176866,123.67,0.56,0.65,-5.97,0.03,0,0.06,0.08,0.88,,,,,
¿Téo?,49,174944,121.18,0.57,0.66,-9.5,0.11,0.11,0.35,0.15,0.47,,,,,5
「Story of Hope」,23,234932,139.16,0.94,0.32,-1.27,0.1,0,0,0.3,0.28,,,,,
€URO TRA$H,37,222101,128.09,0.77,0.79,-6.3,0.06,0.36,0.05,0.08,0.53,,,,,
44,37,237413,144.74,0.81,0.45,-5.14,0.05,0,0.01,0.19,0.37,,,,,
</body>,24,104218,113.39,0.56,0.65,-12.55,0.04,0.85,0.11,0.17,0.61,,,,,
µ-Ziq,33,264022,141.5,0.6,0.5,-9.93,0.04,0.86,0.29,0.11,0.29,,,,,
✦ pink cig ✦,39,174774,111.47,0.45,0.54,-10.41,0.06,0,0.31,0.13,0.25,,,,,
47,27,256440,126.01,0.82,0.73,-6.31,0.05,0.9,0.03,0.19,0.78,,,,,
1.Cuz,50,163250,118.8,0.58,0.8,-7.78,0.18,0,0.39,0.24,0.67,,,,,
10 Ft. Ganja Plant,28,236090,111.28,0.56,0.76,-8.02,0.07,0.4,0.11,0.13,0.76,,,,,
10 Years,34,225477,138.85,0.82,0.41,-4.94,0.06,0.03,0.02,0.19,0.38,,,,,
100 Demons,20,165484,111.16,0.93,0.26,-5.21,0.1,0.01,0,0.26,0.22,,,,,
100 Kilo Herz,17,182791,109.13,0.66,0.58,-10.6,0.04,0,0.01,0.33,0.61,,,,,
1000 Homo DJs,29,358480,123.32,0.99,0.58,-7.57,0.04,0.32,0,0.12,0.31,,,,,
1000mods,26,336085,130.31,0.78,0.31,-7.59,0.05,0.34,0.01,0.2,0.25,,,,,
108,19,116693,101.78,0.76,0.44,-9.6,0.06,0.61,0,0.26,0.46,,,,,
10cc,32,235619,131.99,0.62,0.5,-9.41,0.07,0.01,0.29,0.18,0.57,,,,,
10cm,51,199280,99.23,0.44,0.67,-6.57,0.05,0,0.41,0.13,0.51,,,,,
10-FEET,41,317373,112.87,0.88,0.44,-4.35,0.09,0.03,0,0.3,0.33,,,,,
10Tik,30,191990,113.99,0.6,0.63,-6.67,0.26,0,0.46,0.15,0.46,,,,,
11 Acorn Lane,34,181720,119.34,0.81,0.82,-4.51,0.08,0.2,0.02,0.22,0.89,,,,,
11:11,43,211418,97.94,0.48,0.57,-8.87,0.07,0.01,0.14,0.1,0.24,,,,,
112,33,249583,114.31,0.59,0.72,-6.52,0.12,0,0.11,0.12,0.57,,,,,
116,33,249434,97.97,0.79,0.68,-6.4,0.17,0,0.14,0.28,0.47,,,,,
11th Hour,22,197031,129.39,0.5,0.58,-7.02,0.04,0,0.52,0.14,0.46,,,,,
12 Stones,29,214411,146.94,0.86,0.43,-4.44,0.07,0,0.05,0.17,0.43,,,,,
125 Rue Montmartre,33,194325,151.25,0.57,0.45,-12.05,0.05,0.73,0.03,0.16,0.29,,,,,
12th Planet,28,199679,124.77,0.94,0.56,-2.47,0.21,0.13,0.01,0.29,0.27,,,,,
13,23,188930,147.56,0.8,0.66,-4.08,0.2,0.55,0.01,0.22,0.25,,,,,
1349,20,320479,127.48,0.94,0.22,-7.13,0.12,0.8,0,0.19,0.1,,,,,
13th Chime,21,244077,135.3,0.83,0.41,-10.32,0.06,0.5,0.48,0.17,0.53,,,,,
13th Floor Elevators,25,235161,128.34,0.73,0.45,-6.87,0.05,0.18,0.11,0.13,0.61,,,,,
156/Silence,26,205770,126.56,0.92,0.45,-4.6,0.09,0.66,0,0.31,0.21,,,,,
16 Horsepower,24,218224,132.61,0.67,0.47,-7.78,0.04,0.05,0.27,0.59,0.47,,,,,
16B,18,549000,126.98,0.92,0.62,-6.03,0.04,0.87,0,0.09,0.34,,,,,
16BL,24,402119,120.32,0.6,0.71,-10.58,0.04,0.78,0.12,0.15,0.45,,,,,
1782,24,312578,118.63,0.51,0.38,-12.32,0.03,0.78,0.28,0.15,0.14,,,,,
1788-L,26,217874,125.33,0.77,0.48,-4.17,0.15,0.21,0.04,0.29,0.18,,,,,
18 Carat Affair,25,94632,119.67,0.58,0.59,-12.7,0.08,0.84,0.32,0.18,0.53,,,,,
1910 Fruitgum Company,21,142338,126.17,0.73,0.75,-6.94,0.04,0,0.29,0.16,0.91,,,,,
1914,23,408011,111.27,0.91,0.34,-5.31,0.1,0.19,0,0.22,0.08,,,,,
1919,17,152693,146.9,0.95,0.46,-8.9,0.23,0.1,0.01,0.16,0.23,,,,,
1974 A.D,29,277564,147.36,0.4,0.59,-11.16,0.03,0,0.43,0.18,0.5,,,,,
1991,31,225249,164.89,0.88,0.47,-4.18,0.08,0.61,0.07,0.23,0.34,,,,,
1nonly,55,145131,121.14,0.64,0.73,-8.45,0.17,0.01,0.27,0.19,0.48,,,,,
2 Best Enemies,24,394490,149,0.81,0.63,-5.37,0.11,0.73,0.01,0.3,0.26,,,,,
2 Brothers On The 4th Floor,27,262506,137.24,0.87,0.65,-7.1,0.06,0.22,0.03,0.23,0.61,,,,,
2 Chainz,43,226260,131.51,0.65,0.78,-5.7,0.21,0.01,0.13,0.21,0.46,,,,6,6
2 Eivissa,28,224890,131.49,0.86,0.71,-5.54,0.05,0.06,0.03,0.16,0.84,,,,,
2 LIVE CREW,16,332027,123.12,0.69,0.95,-9.77,0.25,0.04,0,0.79,0.53,,,,,
2 Mello,28,180764,123.58,0.71,0.68,-7.47,0.09,0.48,0.23,0.17,0.68,,,,,
2 minutos,39,170092,119.4,0.96,0.42,-3.82,0.08,0.01,0.01,0.36,0.58,,,,,
2 Pistols,39,219680,118.45,0.7,0.63,-5.67,0.13,0,0.02,0.39,0.35,,,,,
2 Unlimited,31,279080,133.44,0.95,0.69,-6.99,0.11,0.13,0.01,0.14,0.62,,,,,
20 Watt Tombstone,21,241872,118.64,0.88,0.37,-7.68,0.08,0.16,0.01,0.24,0.27,,,,,
200 Stab Wounds,31,182503,99.02,0.95,0.26,-4.75,0.11,0.67,0,0.33,0.16,,,,,
2002,25,295083,97.58,0.21,0.2,-16.94,0.04,0.86,0.9,0.11,0.08,,,,,
20th Century Steel Band,27,313147,107.36,0.5,0.67,-12.91,0.06,0,0.04,0.08,0.56,,,,,
21 Hertz,22,271387,130.08,0.42,0.49,-11.71,0.03,0.01,0.01,0.14,0.11,,,,,
21 Savage,60,204878,135.18,0.54,0.81,-7.76,0.28,0.02,0.11,0.18,0.35,,,,6,
21:03,22,246715,108.69,0.68,0.53,-5.27,0.06,0,0.3,0.2,0.5,,,,,
220 KID,55,173325,123.55,0.79,0.62,-5.7,0.05,0,0.12,0.14,0.62,,,,,
22-20s,25,255847,110.89,0.78,0.42,-6.87,0.06,0.44,0.05,0.22,0.3,,,,,
23,55,140303,105.43,0.54,0.73,-9.54,0.22,0.03,0.29,0.2,0.58,,,,,
24 Carat Black,25,361907,114.83,0.45,0.49,-13,0.09,0.29,0.57,0.1,0.49,,,,,
24hrs,35,222470,130.9,0.7,0.77,-4.61,0.09,0.03,0.11,0.22,0.53,,,,,
24kGoldn,65,160393,132.24,0.7,0.7,-4.49,0.11,0,0.17,0.19,0.62,,,,,
24SJU,30,140915,110.78,0.6,0.84,-9.38,0.21,0,0.18,0.09,0.72,,,,,
2562,16,280453,131.99,0.66,0.8,-7.59,0.18,0.21,0,0.15,0.51,,,,,
27CLUB,34,153291,111.09,0.51,0.56,-8.9,0.07,0,0.13,0.09,0.41,,,,,
2Baba,26,253265,112.74,0.74,0.66,-5.34,0.2,0,0.27,0.18,0.75,,,,,
2CELLOS,51,241649,132.36,0.48,0.42,-8.95,0.06,0.61,0.49,0.33,0.42,,,,,
2econd Class Citizen,27,358691,117.52,0.63,0.55,-11.2,0.04,0.83,0.21,0.2,0.2,,,,,
2gaudy,44,165862,129.12,0.53,0.68,-9.85,0.16,0,0.19,0.1,0.44,,,,,
2nd Grade,23,111869,126.01,0.72,0.45,-7.36,0.04,0.21,0.09,0.24,0.67,,,,,
2nd South Carolina String Band,23,221206,109.15,0.58,0.65,-4.84,0.04,0,0.69,0.2,0.77,,,,,
2NE1,47,222340,130.79,0.79,0.72,-3.09,0.06,0.01,0.15,0.21,0.61,,,,,
2Pac,37,257811,106.4,0.75,0.78,-5.5,0.23,0,0.12,0.19,0.66,,,,7,9
3 Doors Down,41,225426,133.81,0.79,0.5,-5.44,0.04,0.01,0.07,0.17,0.44,7,,,,6
3 Inches Of Blood,26,241830,115.08,0.96,0.37,-3.56,0.07,0.06,0,0.19,0.44,,,,,
3 Pill Morning,28,192757,141.21,0.91,0.45,-4.11,0.07,0,0,0.24,0.46,,,,,
3 Steps Ahead,23,310010,132.31,0.86,0.54,-6.08,0.07,0.39,0.03,0.29,0.28,,,,,
30,40,179997,122.15,0.68,0.64,-5.95,0.22,0,0.38,0.19,0.46,,,,,
31 Minutos,41,139918,122.65,0.86,0.65,-4.81,0.1,0.1,0.32,0.22,0.69,,,,,
311,26,210414,139.55,0.82,0.58,-7.11,0.06,0.01,0.03,0.17,0.6,,,,,
3-11 Porter,40,272538,104.01,0.54,0.66,-9.95,0.05,0.23,0.03,0.26,0.35,,,,,
32 Leaves,34,211718,118.05,0.8,0.34,-6.21,0.05,0.01,0,0.18,0.4,,,,,
347aidan,49,157486,122.51,0.47,0.77,-9.52,0.17,0.03,0.47,0.24,0.5,,,,,
35007,23,373969,138.55,0.64,0.26,-8.95,0.04,0.63,0.17,0.21,0.17,,,,,
36,24,310649,99.63,0.24,0.17,-16.66,0.05,0.89,0.83,0.1,0.08,,,,,
36 Crazyfists,24,228812,131.9,0.92,0.45,-4.36,0.13,0.04,0.01,0.25,0.37,,,,,
38 Special,25,248642,128.05,0.82,0.48,-5.27,0.06,0.01,0.02,0.23,0.71,,,,,
38th Parallel,27,233933,109.95,0.83,0.63,-4.63,0.03,0,0,0.11,0.56,,,,,
3d Blast,30,211412,108.48,0.79,0.57,-9.05,0.19,0.18,0.22,0.53,0.63,,,,,
3FORCE,26,276514,136.42,0.91,0.46,-3.66,0.05,0.66,0,0.16,0.16,,,,,
3LAU,31,203995,124.37,0.83,0.57,-5.01,0.07,0.11,0.04,0.22,0.24,,,,,
3LW,27,253700,123.41,0.67,0.75,-5.66,0.11,0,0.08,0.14,0.68,,,,,
3OH!3,31,197561,128.79,0.75,0.63,-4.82,0.16,0,0.05,0.2,0.55,,,0,6,
3R2,30,238232,146.65,0.98,0.51,-3.67,0.06,0.44,0,0.3,0.67,,,,,
3rd Strike,25,205729,109.47,0.86,0.49,-5.79,0.11,0.08,0.01,0.25,0.51,,,,,
3TEETH,25,228021,121.51,0.93,0.46,-5.02,0.09,0.48,0.02,0.28,0.23,,,,,
4 Tune Fairytales,28,249491,178.01,0.95,0.5,-5.19,0.05,0.59,0.08,0.19,0.5,,,,,
40 Below Summer,23,223422,122.67,0.89,0.47,-5.23,0.1,0.03,0,0.17,0.44,,,,,
40 Fingers,20,192008,116.71,0.61,0.51,-7.65,0.03,0.87,0.23,0.11,0.33,,,,,
40 Thieves,29,340291,114.29,0.62,0.79,-9.4,0.08,0.61,0.06,0.15,0.69,,,,,
40 Winks,28,211203,106.7,0.57,0.61,-13.06,0.05,0.78,0.31,0.17,0.47,,,,,
408,35,171584,138.87,0.89,0.51,-3.22,0.06,0.01,0.03,0.19,0.41,,,,,
42 Dugg,54,154243,118.07,0.61,0.77,-7.2,0.26,0,0.04,0.16,0.46,,,,,
44.caliberloveletter,23,87023,105.87,0.82,0.26,-11.49,0.12,0.76,0,0.35,0.19,,,,,
44phantom,43,171308,127.09,0.66,0.62,-5.88,0.07,0,0.17,0.16,0.44,,,,,
450,30,180593,117.83,0.6,0.65,-6.61,0.2,0,0.28,0.16,0.45,,,,,
49th & Main,53,227253,121.22,0.57,0.66,-8.98,0.11,0.08,0.23,0.25,0.37,,,,,
4B,38,171143,143.1,0.84,0.66,-4.07,0.17,0.25,0.04,0.24,0.32,,,,,
4ever Falling,41,207587,113.65,0.38,0.72,-11.25,0.04,0,0.75,0.1,0.38,,,,,
4hero,25,313381,116.26,0.62,0.6,-9.5,0.08,0.19,0.09,0.19,0.55,,,,,
4lienetic,25,226419,107.61,0.24,0.37,-18.83,0.05,0.89,0.66,0.16,0.05,,,,,
4x4,24,288880,120.79,0.78,0.8,-4.91,0.12,0,0.28,0.12,0.82,,,,,
5 Reasons,23,303674,109.9,0.64,0.72,-8.87,0.06,0.25,0.05,0.22,0.37,,,,,
5 Seconds of Summer,53,195131,138.85,0.77,0.56,-4.85,0.08,0,0.08,0.18,0.51,,,,,
50 Cent,45,217114,109.3,0.75,0.66,-4.65,0.29,0,0.15,0.18,0.58,,,,6,7
501,20,270680,131.95,0.87,0.52,-4.6,0.06,0.25,0,0.32,0.27,,,,,
50landing,37,221097,96.97,0.43,0.57,-10.46,0.15,0,0.56,0.28,0.39,,,,,
53 Thieves,46,192100,110.11,0.48,0.72,-9.85,0.22,0.13,0.46,0.18,0.3,,,,,
6 Dogs,35,165456,136.86,0.46,0.68,-9.9,0.12,0.09,0.41,0.17,0.37,,,,,
6 Voltios,31,202566,127.72,0.91,0.41,-5,0.1,0,0,0.19,0.61,,,,,
6091,33,179852,131.36,0.5,0.64,-12.15,0.08,0.4,0.59,0.23,0.36,,,,,
666,27,238440,134.17,0.94,0.74,-5.34,0.06,0.43,0.07,0.17,0.69,,,,,
68,29,190729,132.09,0.81,0.45,-7.69,0.09,0.04,0.05,0.2,0.35,,,,,
6cyclemind,58,276031,111.51,0.6,0.64,-7.52,0.03,0,0.33,0.13,0.58,,,,,
6EJOU,32,336134,158.6,0.96,0.57,-4.72,0.09,0.85,0.01,0.3,0.27,,,,,
6host,38,193441,113.38,0.68,0.45,-4.5,0.05,0,0.27,0.2,0.13,,,,,
6ix Toys,23,268893,123.83,0.87,0.78,-5.37,0.09,0.5,0.08,0.09,0.87,,,,,
6ix9ine,52,150434,121.58,0.72,0.74,-5.54,0.2,0,0.1,0.19,0.51,,,,2,
6LACK,56,216831,116.55,0.51,0.64,-8.33,0.17,0.01,0.31,0.16,0.3,,,,5,
6o,32,152040,108.51,0.69,0.57,-5.6,0.09,0.09,0.14,0.17,0.23,,,,,
6obby,32,133856,136.67,0.66,0.58,-6.67,0.06,0,0.02,0.16,0.12,,,,,
6t6,38,137435,123.18,0.63,0.78,-8.9,0.42,0,0.49,0.19,0.63,,,,,
6th Borough Project,25,409074,100.2,0.61,0.79,-9.11,0.06,0.56,0.01,0.23,0.44,,,,,
7 Angels 7 Plagues,18,251500,100.18,0.97,0.37,-7.11,0.14,0.16,0,0.58,0.17,,,,,
7 Days Of Funk,21,255138,99.08,0.71,0.73,-5.28,0.18,0,0.04,0.11,0.54,,,,,
7 H. Target,17,232353,81.68,0.98,0.18,-4.85,0.29,0.88,0,0.1,0.1,,,,,
7 Minutes Dead,24,347258,116.99,0.84,0.49,-5.54,0.06,0.29,0.06,0.21,0.18,,,,,
7 Minutoz,43,227833,114.04,0.72,0.63,-7.1,0.1,0,0.43,0.18,0.39,,,,,
7 Seconds,24,126525,113,0.97,0.45,-4.38,0.1,0.1,0.02,0.24,0.52,,,,,
7 Skies,34,168075,130.4,0.93,0.46,-7.07,0.04,0.89,0,0.25,0.42,,,,,
7 Sons of Soul,23,228365,108.39,0.68,0.68,-4.74,0.09,0,0.26,0.26,0.72,,,,,
700 Bliss,19,166707,125.7,0.57,0.75,-12.92,0.09,0.34,0.05,0.27,0.38,,,,,
702,35,247000,98.05,0.66,0.73,-5.69,0.08,0,0.28,0.23,0.61,,,,,
7038634357,22,212346,99.12,0.33,0.51,-19.31,0.09,0.76,0.72,0.15,0.22,,,,,
753,31,358474,149.84,0.98,0.55,-6.35,0.11,0.84,0,0.33,0.22,,,,,
7777 の天使,17,225030,141.69,0.81,0.28,-6.31,0.1,0.34,0.06,0.21,0.09,,,,,
7and5,24,231443,91.28,0.41,0.52,-12.26,0.03,0.81,0.5,0.1,0.24,,,,,
7eventh Time Down,25,194424,123.02,0.8,0.53,-5.18,0.05,0,0.03,0.19,0.49,,,,,
7evin7ins,38,165419,142.41,0.75,0.5,-6.95,0.1,0.03,0.08,0.21,0.48,,,,,
7Horse,27,198863,128.52,0.82,0.49,-5.59,0.1,0.13,0.1,0.18,0.62,,,,,
7ru7h,37,162878,129.03,0.68,0.66,-7.36,0.07,0,0.08,0.15,0.56,,,,,
8 Foot Sativa,19,213472,142.28,0.96,0.3,-4.13,0.08,0.65,0,0.08,0.53,,,,,
8 Graves,32,209899,119.11,0.78,0.62,-5.51,0.05,0.01,0.08,0.21,0.55,,,,,
808 State,36,358691,125.71,0.9,0.64,-6.77,0.06,0.9,0.04,0.14,0.24,,,,,
80purppp,47,154556,104.89,0.42,0.71,-12.93,0.17,0.13,0.55,0.23,0.45,,,,,
86 Mentality,20,88342,134.06,0.89,0.31,-4.94,0.05,0.58,0,0.2,0.81,,,,,
88 Fingers Louie,30,145908,144.55,0.97,0.39,-3.37,0.09,0,0,0.23,0.6,,,,,
888,36,208904,115.48,0.78,0.63,-5.32,0.06,0,0.01,0.25,0.33,,,,,
88GLAM,46,186819,134.29,0.57,0.72,-6.91,0.07,0,0.22,0.17,0.46,,,,,
88-Keys,48,200471,113.41,0.64,0.75,-6.58,0.19,0,0.21,0.33,0.62,,,,,
88rising,60,189581,113.4,0.56,0.65,-7.68,0.1,0,0.36,0.15,0.42,,,,,
89ine,36,175378,109.97,0.35,0.77,-14.31,0.15,0.58,0.43,0.23,0.37,,,,,
8Ball,34,282141,133.44,0.61,0.75,-6.59,0.24,0,0.09,0.16,0.43,,,,,
8Ball & MJG,30,298021,132.84,0.77,0.81,-6.38,0.23,0,0.08,0.22,0.66,,,,,
8Kays,46,302754,123,0.8,0.72,-7.02,0.06,0.91,0.01,0.13,0.18,,,,,
8mm,16,266640,152.04,0.53,0.54,-7.43,0.03,0.01,0.01,0.09,0.25,,,,,
8percent,43,135265,117.57,0.48,0.7,-13.09,0.19,0.16,0.42,0.18,0.43,,,,,
9 Lazy 9,35,215784,111.85,0.33,0.65,-17.28,0.04,0.79,0.32,0.17,0.39,,,,,
90sFlav,38,107391,120.19,0.35,0.75,-12.25,0.2,0.83,0.59,0.12,0.46,,,,,
916frosty,36,222804,141.15,0.68,0.65,-6.78,0.12,0,0.17,0.19,0.38,,,,,
92914,50,301985,108.44,0.33,0.69,-12.04,0.04,0.27,0.86,0.34,0.42,,,,,
93FEETOFSMOKE,33,136045,125.44,0.63,0.63,-6.64,0.08,0,0.27,0.21,0.47,,,,,
95 North,24,438052,123.04,0.86,0.8,-7.71,0.07,0.37,0,0.21,0.73,,,,,
98º,30,241704,105.31,0.63,0.65,-7.05,0.04,0,0.24,0.15,0.49,,,,,
999999999,34,305373,138.6,0.89,0.62,-8.58,0.06,0.88,0.01,0.17,0.31,,,,,
99zed,57,121924,166.01,0.72,0.67,-4.66,0.23,0,0.08,0.12,0.16,,,,,
9ice,22,255913,120.01,0.79,0.66,-5.26,0.17,0,0.29,0.13,0.85,,,,,
9mm Parabellum Bullet,24,188768,134.49,0.96,0.42,-3.8,0.12,0.06,0,0.2,0.41,,,,,
9smkr,44,68740,126.57,0.14,0.7,-16.31,0.12,0.45,0.94,0.23,0.61,,,,,
9th Wonder,40,148931,93.19,0.64,0.61,-8.6,0.17,0.23,0.36,0.26,0.63,,,,,
A Bullet for Pretty Boy,23,251640,147.92,0.96,0.33,-4.19,0.11,0,0,0.33,0.25,,,,,
A Certain Ratio,19,195477,120.79,0.76,0.73,-7.7,0.1,0.28,0.05,0.38,0.64,,,,,
A Cerulean State,22,188503,89.04,0.1,0.26,-20.86,0.04,0.91,0.82,0.14,0.09,,,,,
A Change of Pace,23,215625,149.33,0.86,0.43,-4.25,0.09,0,0.05,0.21,0.45,,,,,
A Day To Remember,44,211668,137.97,0.9,0.39,-4.83,0.12,0.01,0.02,0.25,0.4,,,,,
A Feast for Kings,21,277859,119.19,0.99,0.5,-4.14,0.13,0.02,0,0.1,0.23,,,,,
A Flock Of Seagulls,47,246451,142.97,0.71,0.51,-10.03,0.03,0.61,0.02,0.11,0.71,,,,,6
A Forest Mighty Black,33,283093,101.28,0.75,0.63,-8.1,0.03,0.9,0.15,0.13,0.55,,,,,
A Forest Of Stars,21,268217,115.97,0.6,0.23,-9.03,0.07,0.74,0.23,0.41,0.06,,,,,
A Giant Dog,18,166742,161.07,0.91,0.38,-5.96,0.09,0.13,0.06,0.15,0.5,,,,,
A Global Threat,22,112881,155.76,0.97,0.27,-6.14,0.1,0.8,0,0.31,0.52,,,,,
A Great Big Pile of Leaves,23,207725,134.64,0.79,0.54,-5.77,0.06,0.04,0.24,0.17,0.52,,,,,
A La Carte,23,162945,147.24,0.76,0.54,-6.76,0.04,0,0.04,0.65,0.9,,,,,
A Life Once Lost,26,201260,147.37,0.99,0.47,-3.57,0.1,0.16,0,0.26,0.34,,,,,
A Loss For Words,22,192858,131.3,0.88,0.41,-4.24,0.09,0,0.07,0.2,0.45,,,,,
A Lot Like Birds,23,261435,132.3,0.88,0.4,-4.6,0.11,0.04,0.09,0.28,0.31,,,,,
A Number Of Names,29,337130,127.67,0.5,0.78,-10.98,0.12,0.06,0.01,0.23,0.46,,,,,
A Pale Horse Named Death,26,304911,122.02,0.83,0.46,-5.98,0.06,0.09,0.02,0.15,0.29,,,,,
A Perfect Circle,37,248954,131.62,0.7,0.48,-7.75,0.06,0.21,0.12,0.19,0.27,,,,,
A Perfect Murder,17,180614,145.73,0.97,0.45,-4.11,0.05,0.21,0,0.23,0.63,,,,,
a picture of her,23,292079,126.27,0.58,0.36,-8.97,0.04,0.86,0.1,0.12,0.37,,,,,
A Place To Bury Strangers,23,231708,135.45,0.87,0.29,-4.7,0.08,0.78,0.07,0.17,0.33,,,,,
A Plea for Purging,21,227405,131.95,0.97,0.47,-3.74,0.14,0.27,0,0.59,0.28,,,,,
A R I Z O N A,44,200015,112.66,0.68,0.69,-6.57,0.06,0.02,0.17,0.15,0.42,,,,,
A Rocket To The Moon,30,205877,131.94,0.71,0.53,-4.63,0.05,0,0.19,0.18,0.55,,,,,
A Scent Like Wolves,22,221572,148.77,0.96,0.45,-4.51,0.1,0,0,0.25,0.36,,,,,
A Sense of Purpose,29,247939,140,0.97,0.47,-4.32,0.12,0,0,0.1,0.21,,,,,
A Silent Film,32,244725,152.72,0.75,0.45,-6.55,0.04,0.08,0.01,0.13,0.31,,,,,
A Skylit Drive,25,209074,128.04,0.92,0.34,-4.07,0.09,0,0.01,0.28,0.35,,,,,
A Static Lullaby,23,224592,123.16,0.95,0.38,-5.97,0.12,0.01,0,0.23,0.26,,,,,
A Story Told,42,203845,135.63,0.92,0.5,-4.54,0.06,0.04,0,0.24,0.49,,,,,
A Taste Of Honey,34,257045,128.4,0.53,0.73,-8.83,0.04,0,0.4,0.14,0.7,,,,,
A Thousand Horses,35,189204,137.96,0.82,0.44,-5.34,0.06,0,0.03,0.2,0.54,,,,,
A Touch Of Class,30,236486,134.23,0.81,0.68,-7.29,0.04,0.01,0.24,0.22,0.67,,,,,
A Tribe Called Quest,35,231348,100.55,0.58,0.79,-8.74,0.24,0.04,0.2,0.19,0.64,,,,,
A Vain Attempt,18,208472,100.22,0.77,0.3,-8.94,0.03,0,0,0.32,0.17,,,,,
A Wilhelm Scream,26,166970,131.56,0.97,0.38,-4.7,0.11,0,0.01,0.22,0.45,,,,,
A Will Away,24,157715,125.39,0.8,0.36,-6.76,0.05,0,0.21,0.28,0.42,,,,,
A Winged Victory for the Sullen,29,271700,96.28,0.15,0.19,-21.26,0.06,0.88,0.76,0.1,0.06,,,,,
A$AP ANT,56,138049,121.99,0.59,0.83,-8.49,0.22,0,0.32,0.18,0.45,,,,,
A$AP Ferg,51,216681,130.46,0.73,0.75,-5.35,0.19,0.03,0.14,0.24,0.41,,,,,
A$AP Mob,49,212329,117.76,0.65,0.77,-6.29,0.25,0,0.18,0.2,0.37,,,,,
A$AP Rocky,57,212104,124.66,0.65,0.65,-7.23,0.23,0.03,0.21,0.25,0.41,,,,6,
A*S*Y*S,32,391641,130.78,0.94,0.71,-6.42,0.07,0.88,0.03,0.13,0.13,,,,,
A*Teens,28,215061,118.84,0.92,0.65,-3.24,0.05,0.01,0.07,0.32,0.81,,,,,
A. G. Cook,23,209777,128.31,0.56,0.55,-8.16,0.07,0.3,0.38,0.19,0.39,,,,,
A. Rassevich,25,298291,118.8,0.8,0.76,-5.76,0.04,0.38,0.01,0.2,0.51,,,,,
A.CHAL,38,182959,133.91,0.63,0.73,-6.98,0.09,0.02,0.13,0.15,0.39,,,,,
A.L.I.S.O.N,36,219980,106.48,0.66,0.62,-9.69,0.05,0.73,0.22,0.12,0.26,,,,,
A.M.C,23,269522,171.23,0.97,0.6,-0.45,0.27,0.56,0,0.33,0.29,,,,,
A.M.R,37,278848,117.72,0.63,0.67,-10.48,0.04,0.61,0.09,0.1,0.26,,,,,
A.N.I.M.A.L.,22,223623,120.2,0.91,0.52,-5.02,0.1,0.02,0.01,0.24,0.31,,,,,
A.r.d.i.,25,169761,136.66,0.93,0.51,-7.55,0.07,0.76,0.01,0.3,0.17,,,,,
A.R.T. Wilson,23,230732,104.71,0.27,0.41,-16.64,0.06,0.9,0.87,0.37,0.27,,,,,
A.Skillz,22,240421,112.42,0.86,0.77,-6.1,0.11,0.17,0.02,0.15,0.75,,,,,
A1 x J1,64,168591,141.71,0.58,0.7,-8.78,0.19,0,0.13,0.26,0.81,,,,,
A36,53,150711,114.34,0.53,0.85,-8.3,0.15,0,0.23,0.12,0.56,,,,,
